<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,60,20221107,110000,127.0200000,127.4000000,126.5500000,126.5600000,8888050
SBER,60,20221107,120000,126.5600000,128.5000000,126.5000000,128.2800000,12193550
SBER,60,20221107,130000,128.2700000,129.9000000,128.2700000,129.5600000,18478370
SBER,60,20221107,140000,129.5600000,130.3900000,129.4200000,129.6900000,10746890
SBER,60,20221107,150000,129.6900000,129.9400000,129.1600000,129.5700000,4737290
SBER,60,20221107,160000,129.5700000,130.0000000,129.3100000,129.9000000,2645070
SBER,60,20221107,170000,129.9000000,130.2000000,129.5600000,130.1600000,4097100
SBER,60,20221107,180000,130.1800000,131.7200000,130.1200000,131.3100000,14590160
SBER,60,20221107,190000,131.3500000,131.7800000,131.2200000,131.6300000,6577540
SBER,60,20221107,200000,131.3800000,131.9300000,131.1500000,131.3500000,1996240
SBER,60,20221107,210000,131.3500000,131.5700000,131.2600000,131.5300000,1485460
SBER,60,20221107,220000,131.5600000,131.9500000,131.5000000,131.5300000,2510750
SBER,60,20221107,230000,131.5100000,131.7900000,131.3000000,131.7000000,1397140
SBER,60,20221108,000000,131.7000000,132.0000000,131.5500000,132.0000000,1153180
SBER,60,20221108,110000,131.9900000,133.1100000,130.2500000,131.2200000,25791900
SBER,60,20221108,120000,131.2400000,131.5800000,130.1000000,131.5800000,8250400
SBER,60,20221108,130000,131.5800000,131.5900000,130.5000000,131.0200000,6382890
SBER,60,20221108,140000,131.0100000,131.2500000,130.6500000,131.0700000,2762060
SBER,60,20221108,150000,131.0200000,132.3000000,130.9200000,131.9400000,8400090
SBER,60,20221108,160000,131.9000000,132.0600000,131.2300000,131.6500000,3474910
SBER,60,20221108,170000,131.6600000,131.9500000,130.6000000,130.8200000,4138750
SBER,60,20221108,180000,130.8100000,131.3900000,130.6100000,131.2700000,2241620
SBER,60,20221108,190000,131.2800000,131.4900000,131.0700000,131.1700000,1164930
SBER,60,20221108,200000,131.1500000,131.6500000,131.1500000,131.6300000,1655920
SBER,60,20221108,210000,131.6200000,131.7700000,131.4200000,131.5800000,1268630
SBER,60,20221108,220000,131.5600000,131.7000000,131.2000000,131.3000000,719950
SBER,60,20221108,230000,131.3100000,131.3400000,130.1700000,131.0000000,2335610
SBER,60,20221109,000000,131.0000000,131.3500000,130.8700000,131.2900000,783920
SBER,60,20221109,110000,131.0600000,131.4700000,129.8000000,129.9000000,9197950
SBER,60,20221109,120000,129.8900000,130.4700000,129.5500000,129.6500000,7003590
SBER,60,20221109,130000,129.6700000,130.3900000,129.3000000,129.3400000,4810060
SBER,60,20221109,140000,129.3500000,129.7100000,129.1000000,129.5000000,4008310
SBER,60,20221109,150000,129.5000000,129.6700000,128.8300000,129.4400000,5696560
